UID        PID  PPID  C STIME TTY          TIME CMD
nobody    1117  1009  0 21:35 ?        00:00:00 /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/run/sendsigs.omit.d/network-manager.dnsmasq.pid --listen-address=127.0.1.1 --conf-file=/var/run/NetworkManager/dnsmasq.conf --cache-size=0 --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
root      1208     1  0 21:35 tty1     00:00:00 /sbin/getty -8 38400 tty1
root      1322     1  0 21:35 ?        00:00:00 lightdm
root      1334  1322  0 21:35 tty7     00:00:24 /usr/bin/X -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root      1337     1  0 21:35 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root      1358     2  0 21:35 ?        00:00:00 [kauditd]
root      1404  1322  0 21:35 ?        00:00:00 lightdm --session-child 12 19
root      1441     1  0 21:35 ?        00:00:00 /usr/lib/upower/upowerd
rtkit     1469     1  0 21:35 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
prashan+  1679     1  0 21:35 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
prashan+  1689  1404  0 21:35 ?        00:00:00 init --user
prashan+  1777  1689  0 21:35 ?        00:00:00 dbus-daemon --fork --session --address=unix:abstract=/tmp/dbus-gASpjccDqn
prashan+  1788  1689  0 21:35 ?        00:00:00 upstart-event-bridge
prashan+  1798  1689  0 21:35 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/window-stack-bridge
prashan+  1809  1689  0 21:35 ?        00:00:00 /usr/bin/ibus-daemon --daemonize --xim
prashan+  1832  1689  0 21:35 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-settings-daemon
prashan+  1836  1689  0 21:35 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/hud-service
prashan+  1838  1689  0 21:35 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher --launch-immediately
prashan+  1839  1689  0 21:35 ?        00:00:00 gnome-session --session=ubuntu
prashan+  1844  1689  0 21:35 ?        00:00:01 /usr/lib/unity/unity-panel-service
prashan+  1846  1838  0 21:35 ?        00:00:00 /bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
prashan+  1853  1689  0 21:35 ?        00:00:00 /usr/lib/gvfs/gvfsd
prashan+  1855  1689  0 21:35 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
prashan+  1860  1809  0 21:35 ?        00:00:00 /usr/lib/ibus/ibus-dconf
prashan+  1862  1689  0 21:35 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
prashan+  1879  1689  0 21:35 ?        00:00:00 upstart-dbus-bridge --daemon --session --user --bus-name session
prashan+  1880  1689  0 21:35 ?        00:00:00 upstart-dbus-bridge --daemon --system --user --bus-name system
prashan+  1881  1689  0 21:35 ?        00:00:00 upstart-file-bridge --daemon --user
prashan+  1882  1809  0 21:35 ?        00:00:00 /usr/lib/ibus/ibus-ui-gtk3
prashan+  1890  1689  0 21:35 ?        00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
